serial:  1 cards:  J3J9J 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 3, 1, 9, 1 ] card_count:  { '3': 1, '9': 1 } bid:  552
serial:  144 cards:  A72KQ 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 7, 2, 13, 12 ] card_count:  { '2': 1, '7': 1, Q: 1, K: 1, A: 1 } bid:  799
serial:  145 cards:  A786Q 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 7, 8, 6, 12 ] card_count:  { '6': 1, '7': 1, '8': 1, Q: 1, A: 1 } bid:  897
serial:  146 cards:  A7TQ9 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 7, 10, 12, 9 ] card_count:  { '7': 1, '9': 1, Q: 1, T: 1, A: 1 } bid:  965
serial:  147 cards:  A9637 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 9, 6, 3, 7 ] card_count:  { '3': 1, '6': 1, '7': 1, '9': 1, A: 1 } bid:  815
serial:  148 cards:  AT296 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 10, 2, 9, 6 ] card_count:  { '2': 1, '6': 1, '9': 1, T: 1, A: 1 } bid:  31
serial:  149 cards:  AQ3K9 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 12, 3, 13, 9 ] card_count:  { '3': 1, '9': 1, K: 1, Q: 1, A: 1 } bid:  752
serial:  150 cards:  JJJ22 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 1, 1, 2, 2 ] card_count:  { '2': 2 } bid:  430
serial:  151 cards:  J253K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 2, 5, 3, 13 ] card_count:  { '2': 1, '3': 1, '5': 1, K: 1 } bid:  286
serial:  152 cards:  J5Q4K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 5, 12, 4, 13 ] card_count:  { '4': 1, '5': 1, K: 1, Q: 1 } bid:  47
serial:  153 cards:  J5Q94 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 5, 12, 9, 4 ] card_count:  { '4': 1, '5': 1, '9': 1, Q: 1 } bid:  263
serial:  154 cards:  J6793 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 6, 7, 9, 3 ] card_count:  { '3': 1, '6': 1, '7': 1, '9': 1 } bid:  800
serial:  155 cards:  J745Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 7, 4, 5, 12 ] card_count:  { '4': 1, '5': 1, '7': 1, Q: 1 } bid:  635
serial:  156 cards:  J8AQ4 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 8, 14, 12, 4 ] card_count:  { '4': 1, '8': 1, Q: 1, A: 1 } bid:  377
serial:  157 cards:  J986K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 9, 8, 6, 13 ] card_count:  { '6': 1, '8': 1, '9': 1, K: 1 } bid:  3
serial:  158 cards:  J9Q7K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 9, 12, 7, 13 ] card_count:  { '7': 1, '9': 1, K: 1, Q: 1 } bid:  359
serial:  159 cards:  JQJJQ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 12, 1, 1, 12 ] card_count:  { Q: 2 } bid:  427
serial:  160 cards:  JQ39K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 12, 3, 9, 13 ] card_count:  { '3': 1, '9': 1, K: 1, Q: 1 } bid:  336
serial:  161 cards:  JQ537 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 12, 5, 3, 7 ] card_count:  { '3': 1, '5': 1, '7': 1, Q: 1 } bid:  504
serial:  162 cards:  JQ687 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 12, 6, 8, 7 ] card_count:  { '6': 1, '7': 1, '8': 1, Q: 1 } bid:  662
serial:  163 cards:  JQ798 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 12, 7, 9, 8 ] card_count:  { '7': 1, '8': 1, '9': 1, Q: 1 } bid:  66
serial:  164 cards:  JKJKJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 13, 1, 13, 1 ] card_count:  { K: 2 } bid:  150
serial:  165 cards:  JA738 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 14, 7, 3, 8 ] card_count:  { '3': 1, '7': 1, '8': 1, A: 1 } bid:  611
serial:  166 cards:  JAQ86 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 1, 14, 12, 8, 6 ] card_count:  { '6': 1, '8': 1, Q: 1, A: 1 } bid:  737
serial:  167 cards:  22945 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 2, 9, 4, 5 ] card_count:  { '2': 2, '4': 1, '5': 1, '9': 1 } bid:  606
serial:  168 cards:  22T7K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 2, 10, 7, 13 ] card_count:  { '2': 2, '7': 1, K: 1, T: 1 } bid:  485
serial:  169 cards:  22Q74 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 2, 12, 7, 4 ] card_count:  { '2': 2, '4': 1, '7': 1, Q: 1 } bid:  868
serial:  170 cards:  24J8Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 4, 1, 8, 12 ] card_count:  { '2': 1, '4': 1, '8': 1, Q: 1 } bid:  520
serial:  171 cards:  2554Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 5, 5, 4, 12 ] card_count:  { '2': 1, '4': 1, '5': 2, Q: 1 } bid:  500
serial:  172 cards:  26852 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 6, 8, 5, 2 ] card_count:  { '2': 2, '5': 1, '6': 1, '8': 1 } bid:  914
serial:  173 cards:  26AAK 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 6, 14, 14, 13 ] card_count:  { '2': 1, '6': 1, K: 1, A: 2 } bid:  579
serial:  174 cards:  2738J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 7, 3, 8, 1 ] card_count:  { '2': 1, '3': 1, '7': 1, '8': 1 } bid:  229
serial:  175 cards:  299K6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 9, 9, 13, 6 ] card_count:  { '2': 1, '6': 1, '9': 2, K: 1 } bid:  389
serial:  176 cards:  29T9Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 9, 10, 9, 12 ] card_count:  { '2': 1, '9': 2, Q: 1, T: 1 } bid:  458
serial:  177 cards:  2TT39 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 10, 10, 3, 9 ] card_count:  { '2': 1, '3': 1, '9': 1, T: 2 } bid:  160
serial:  178 cards:  2QK28 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 12, 13, 2, 8 ] card_count:  { '2': 2, '8': 1, K: 1, Q: 1 } bid:  445
serial:  179 cards:  2K372 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 13, 3, 7, 2 ] card_count:  { '2': 2, '3': 1, '7': 1, K: 1 } bid:  132
serial:  180 cards:  2A2K8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 14, 2, 13, 8 ] card_count:  { '2': 2, '8': 1, K: 1, A: 1 } bid:  112
serial:  181 cards:  2A3K2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 2, 14, 3, 13, 2 ] card_count:  { '2': 2, '3': 1, K: 1, A: 1 } bid:  419
serial:  182 cards:  328Q2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 2, 8, 12, 2 ] card_count:  { '2': 2, '3': 1, '8': 1, Q: 1 } bid:  77
serial:  183 cards:  33592 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 3, 5, 9, 2 ] card_count:  { '2': 1, '3': 2, '5': 1, '9': 1 } bid:  56
serial:  184 cards:  3367A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 3, 6, 7, 14 ] card_count:  { '3': 2, '6': 1, '7': 1, A: 1 } bid:  781
serial:  185 cards:  33KA8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 3, 13, 14, 8 ] card_count:  { '3': 2, '8': 1, A: 1, K: 1 } bid:  723
serial:  186 cards:  3587J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 5, 8, 7, 1 ] card_count:  { '3': 1, '5': 1, '7': 1, '8': 1 } bid:  728
serial:  187 cards:  35Q95 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 5, 12, 9, 5 ] card_count:  { '3': 1, '5': 2, '9': 1, Q: 1 } bid:  625
serial:  188 cards:  36238 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 6, 2, 3, 8 ] card_count:  { '2': 1, '3': 2, '6': 1, '8': 1 } bid:  770
serial:  189 cards:  37369 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 7, 3, 6, 9 ] card_count:  { '3': 2, '6': 1, '7': 1, '9': 1 } bid:  539
serial:  190 cards:  37T2J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 7, 10, 2, 1 ] card_count:  { '2': 1, '3': 1, '7': 1, T: 1 } bid:  890
serial:  191 cards:  37Q87 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 7, 12, 8, 7 ] card_count:  { '3': 1, '7': 2, '8': 1, Q: 1 } bid:  495
serial:  192 cards:  38J65 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 8, 1, 6, 5 ] card_count:  { '3': 1, '5': 1, '6': 1, '8': 1 } bid:  767
serial:  193 cards:  383K9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 8, 3, 13, 9 ] card_count:  { '3': 2, '8': 1, '9': 1, K: 1 } bid:  826
serial:  194 cards:  384Q3 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 8, 4, 12, 3 ] card_count:  { '3': 2, '4': 1, '8': 1, Q: 1 } bid:  822
serial:  195 cards:  3998Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 9, 9, 8, 12 ] card_count:  { '3': 1, '8': 1, '9': 2, Q: 1 } bid:  76
serial:  196 cards:  39QJ6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 9, 12, 1, 6 ] card_count:  { '3': 1, '6': 1, '9': 1, Q: 1 } bid:  187
serial:  197 cards:  3T4QJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 10, 4, 12, 1 ] card_count:  { '3': 1, '4': 1, Q: 1, T: 1 } bid:  48
serial:  198 cards:  3KJ96 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 13, 1, 9, 6 ] card_count:  { '3': 1, '6': 1, '9': 1, K: 1 } bid:  729
serial:  199 cards:  3K767 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 13, 7, 6, 7 ] card_count:  { '3': 1, '6': 1, '7': 2, K: 1 } bid:  699
serial:  200 cards:  3A362 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 14, 3, 6, 2 ] card_count:  { '2': 1, '3': 2, '6': 1, A: 1 } bid:  295
serial:  201 cards:  3A6K6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 3, 14, 6, 13, 6 ] card_count:  { '3': 1, '6': 2, K: 1, A: 1 } bid:  586
serial:  202 cards:  4J8Q5 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 1, 8, 12, 5 ] card_count:  { '4': 1, '5': 1, '8': 1, Q: 1 } bid:  936
serial:  203 cards:  42577 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 2, 5, 7, 7 ] card_count:  { '2': 1, '4': 1, '5': 1, '7': 2 } bid:  771
serial:  204 cards:  42T34 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 2, 10, 3, 4 ] card_count:  { '2': 1, '3': 1, '4': 2, T: 1 } bid:  787
serial:  205 cards:  45K2K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 5, 13, 2, 13 ] card_count:  { '2': 1, '4': 1, '5': 1, K: 2 } bid:  380
serial:  206 cards:  47673 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 7, 6, 7, 3 ] card_count:  { '3': 1, '4': 1, '6': 1, '7': 2 } bid:  858
serial:  207 cards:  47QJA 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 7, 12, 1, 14 ] card_count:  { '4': 1, '7': 1, A: 1, Q: 1 } bid:  24
serial:  208 cards:  48JTK 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 8, 1, 10, 13 ] card_count:  { '4': 1, '8': 1, K: 1, T: 1 } bid:  849
serial:  209 cards:  48K28 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 8, 13, 2, 8 ] card_count:  { '2': 1, '4': 1, '8': 2, K: 1 } bid:  517
serial:  210 cards:  4TJQA 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 10, 1, 12, 14 ] card_count:  { '4': 1, A: 1, Q: 1, T: 1 } bid:  881
serial:  211 cards:  4TAQQ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 10, 14, 12, 12 ] card_count:  { '4': 1, Q: 2, A: 1, T: 1 } bid:  378
serial:  212 cards:  4Q55A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 12, 5, 5, 14 ] card_count:  { '4': 1, '5': 2, A: 1, Q: 1 } bid:  901
serial:  213 cards:  4Q9Q5 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 12, 9, 12, 5 ] card_count:  { '4': 1, '5': 1, '9': 1, Q: 2 } bid:  182
serial:  214 cards:  4QQ53 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 12, 12, 5, 3 ] card_count:  { '3': 1, '4': 1, '5': 1, Q: 2 } bid:  638
serial:  215 cards:  4AAK5 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 4, 14, 14, 13, 5 ] card_count:  { '4': 1, '5': 1, K: 1, A: 2 } bid:  255
serial:  216 cards:  52T29 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 2, 10, 2, 9 ] card_count:  { '2': 2, '5': 1, '9': 1, T: 1 } bid:  41
serial:  217 cards:  53T65 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 3, 10, 6, 5 ] card_count:  { '3': 1, '5': 2, '6': 1, T: 1 } bid:  562
serial:  218 cards:  53A99 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 3, 14, 9, 9 ] card_count:  { '3': 1, '5': 1, '9': 2, A: 1 } bid:  52
serial:  219 cards:  553A8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 5, 3, 14, 8 ] card_count:  { '3': 1, '5': 2, '8': 1, A: 1 } bid:  325
serial:  220 cards:  55KTA 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 5, 13, 10, 14 ] card_count:  { '5': 2, A: 1, T: 1, K: 1 } bid:  327
serial:  221 cards:  57297 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 7, 2, 9, 7 ] card_count:  { '2': 1, '5': 1, '7': 2, '9': 1 } bid:  689
serial:  222 cards:  58356 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 8, 3, 5, 6 ] card_count:  { '3': 1, '5': 2, '6': 1, '8': 1 } bid:  853
serial:  223 cards:  5878K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 8, 7, 8, 13 ] card_count:  { '5': 1, '7': 1, '8': 2, K: 1 } bid:  659
serial:  224 cards:  594J8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 9, 4, 1, 8 ] card_count:  { '4': 1, '5': 1, '8': 1, '9': 1 } bid:  812
serial:  225 cards:  5T86J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 10, 8, 6, 1 ] card_count:  { '5': 1, '6': 1, '8': 1, T: 1 } bid:  26
serial:  226 cards:  5T9J2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 10, 9, 1, 2 ] card_count:  { '2': 1, '5': 1, '9': 1, T: 1 } bid:  590
serial:  227 cards:  5K323 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 13, 3, 2, 3 ] card_count:  { '2': 1, '3': 2, '5': 1, K: 1 } bid:  710
serial:  228 cards:  5K76J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 13, 7, 6, 1 ] card_count:  { '5': 1, '6': 1, '7': 1, K: 1 } bid:  202
serial:  229 cards:  5A635 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 5, 14, 6, 3, 5 ] card_count:  { '3': 1, '5': 2, '6': 1, A: 1 } bid:  753
serial:  230 cards:  626A7 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 2, 6, 14, 7 ] card_count:  { '2': 1, '6': 2, '7': 1, A: 1 } bid:  709
serial:  231 cards:  629J4 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 2, 9, 1, 4 ] card_count:  { '2': 1, '4': 1, '6': 1, '9': 1 } bid:  483
serial:  232 cards:  63Q4J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 3, 12, 4, 1 ] card_count:  { '3': 1, '4': 1, '6': 1, Q: 1 } bid:  42
serial:  233 cards:  6486K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 4, 8, 6, 13 ] card_count:  { '4': 1, '6': 2, '8': 1, K: 1 } bid:  702
serial:  234 cards:  64T7T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 4, 10, 7, 10 ] card_count:  { '4': 1, '6': 1, '7': 1, T: 2 } bid:  219
serial:  235 cards:  68445 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 8, 4, 4, 5 ] card_count:  { '4': 2, '5': 1, '6': 1, '8': 1 } bid:  264
serial:  236 cards:  68QA8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 8, 12, 14, 8 ] card_count:  { '6': 1, '8': 2, A: 1, Q: 1 } bid:  174
serial:  237 cards:  6QJ2A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 12, 1, 2, 14 ] card_count:  { '2': 1, '6': 1, A: 1, Q: 1 } bid:  854
serial:  238 cards:  6AJ2T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 6, 14, 1, 2, 10 ] card_count:  { '2': 1, '6': 1, T: 1, A: 1 } bid:  929
serial:  239 cards:  7343T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 3, 4, 3, 10 ] card_count:  { '3': 2, '4': 1, '7': 1, T: 1 } bid:  535
serial:  240 cards:  73K3T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 3, 13, 3, 10 ] card_count:  { '3': 2, '7': 1, T: 1, K: 1 } bid:  999
serial:  241 cards:  74234 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 4, 2, 3, 4 ] card_count:  { '2': 1, '3': 1, '4': 2, '7': 1 } bid:  138
serial:  242 cards:  747A9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 4, 7, 14, 9 ] card_count:  { '4': 1, '7': 2, '9': 1, A: 1 } bid:  572
serial:  243 cards:  756K6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 5, 6, 13, 6 ] card_count:  { '5': 1, '6': 2, '7': 1, K: 1 } bid:  561
serial:  244 cards:  75845 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 5, 8, 4, 5 ] card_count:  { '4': 1, '5': 2, '7': 1, '8': 1 } bid:  946
serial:  245 cards:  76A8J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 6, 14, 8, 1 ] card_count:  { '6': 1, '7': 1, '8': 1, A: 1 } bid:  795
serial:  246 cards:  7972T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 9, 7, 2, 10 ] card_count:  { '2': 1, '7': 2, '9': 1, T: 1 } bid:  308
serial:  247 cards:  7TTQ5 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 10, 10, 12, 5 ] card_count:  { '5': 1, '7': 1, Q: 1, T: 2 } bid:  342
serial:  248 cards:  7KQQ4 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 13, 12, 12, 4 ] card_count:  { '4': 1, '7': 1, Q: 2, K: 1 } bid:  958
serial:  249 cards:  7A987 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 7, 14, 9, 8, 7 ] card_count:  { '7': 2, '8': 1, '9': 1, A: 1 } bid:  177
serial:  250 cards:  8443Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 4, 4, 3, 12 ] card_count:  { '3': 1, '4': 2, '8': 1, Q: 1 } bid:  820
serial:  251 cards:  84649 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 4, 6, 4, 9 ] card_count:  { '4': 2, '6': 1, '8': 1, '9': 1 } bid:  397
serial:  252 cards:  875J9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 7, 5, 1, 9 ] card_count:  { '5': 1, '7': 1, '8': 1, '9': 1 } bid:  551
serial:  253 cards:  88T56 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 8, 10, 5, 6 ] card_count:  { '5': 1, '6': 1, '8': 2, T: 1 } bid:  667
serial:  254 cards:  8922K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 9, 2, 2, 13 ] card_count:  { '2': 2, '8': 1, '9': 1, K: 1 } bid:  998
serial:  255 cards:  89A38 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 9, 14, 3, 8 ] card_count:  { '3': 1, '8': 2, '9': 1, A: 1 } bid:  627
serial:  256 cards:  8T85A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 10, 8, 5, 14 ] card_count:  { '5': 1, '8': 2, A: 1, T: 1 } bid:  330
serial:  257 cards:  8KQ28 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 13, 12, 2, 8 ] card_count:  { '2': 1, '8': 2, Q: 1, K: 1 } bid:  392
serial:  258 cards:  8KA82 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 13, 14, 8, 2 ] card_count:  { '2': 1, '8': 2, A: 1, K: 1 } bid:  232
serial:  259 cards:  8A633 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 14, 6, 3, 3 ] card_count:  { '3': 2, '6': 1, '8': 1, A: 1 } bid:  492
serial:  260 cards:  8AAT7 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 8, 14, 14, 10, 7 ] card_count:  { '7': 1, '8': 1, T: 1, A: 2 } bid:  191
serial:  261 cards:  92J48 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 2, 1, 4, 8 ] card_count:  { '2': 1, '4': 1, '8': 1, '9': 1 } bid:  465
serial:  262 cards:  92JKT 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 2, 1, 13, 10 ] card_count:  { '2': 1, '9': 1, T: 1, K: 1 } bid:  296
serial:  263 cards:  93J7A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 3, 1, 7, 14 ] card_count:  { '3': 1, '7': 1, '9': 1, A: 1 } bid:  784
serial:  264 cards:  93K5J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 3, 13, 5, 1 ] card_count:  { '3': 1, '5': 1, '9': 1, K: 1 } bid:  837
serial:  265 cards:  947A9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 4, 7, 14, 9 ] card_count:  { '4': 1, '7': 1, '9': 2, A: 1 } bid:  736
serial:  266 cards:  96294 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 6, 2, 9, 4 ] card_count:  { '2': 1, '4': 1, '6': 1, '9': 2 } bid:  877
serial:  267 cards:  9734J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 7, 3, 4, 1 ] card_count:  { '3': 1, '4': 1, '7': 1, '9': 1 } bid:  818
serial:  268 cards:  97Q7A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 7, 12, 7, 14 ] card_count:  { '7': 2, '9': 1, A: 1, Q: 1 } bid:  261
serial:  269 cards:  98334 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 8, 3, 3, 4 ] card_count:  { '3': 2, '4': 1, '8': 1, '9': 1 } bid:  402
serial:  270 cards:  98T87 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 8, 10, 8, 7 ] card_count:  { '7': 1, '8': 2, '9': 1, T: 1 } bid:  912
serial:  271 cards:  98QJ3 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 8, 12, 1, 3 ] card_count:  { '3': 1, '8': 1, '9': 1, Q: 1 } bid:  189
serial:  272 cards:  9946K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 9, 4, 6, 13 ] card_count:  { '4': 1, '6': 1, '9': 2, K: 1 } bid:  690
serial:  273 cards:  9T589 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 10, 5, 8, 9 ] card_count:  { '5': 1, '8': 1, '9': 2, T: 1 } bid:  306
serial:  274 cards:  9Q484 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 12, 4, 8, 4 ] card_count:  { '4': 2, '8': 1, '9': 1, Q: 1 } bid:  332
serial:  275 cards:  9K3Q3 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 13, 3, 12, 3 ] card_count:  { '3': 2, '9': 1, Q: 1, K: 1 } bid:  557
serial:  276 cards:  9K829 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 13, 8, 2, 9 ] card_count:  { '2': 1, '8': 1, '9': 2, K: 1 } bid:  609
serial:  277 cards:  9A36A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 9, 14, 3, 6, 14 ] card_count:  { '3': 1, '6': 1, '9': 1, A: 2 } bid:  995
serial:  278 cards:  TJTJJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 1, 10, 1, 1 ] card_count:  { T: 2 } bid:  489
serial:  279 cards:  TJK46 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 1, 13, 4, 6 ] card_count:  { '4': 1, '6': 1, K: 1, T: 1 } bid:  585
serial:  280 cards:  TJK68 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 1, 13, 6, 8 ] card_count:  { '6': 1, '8': 1, K: 1, T: 1 } bid:  307
serial:  281 cards:  T2726 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 2, 7, 2, 6 ] card_count:  { '2': 2, '6': 1, '7': 1, T: 1 } bid:  810
serial:  282 cards:  T2AQ2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 2, 14, 12, 2 ] card_count:  { '2': 2, Q: 1, A: 1, T: 1 } bid:  8
serial:  283 cards:  T3AA9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 3, 14, 14, 9 ] card_count:  { '3': 1, '9': 1, A: 2, T: 1 } bid:  848
serial:  284 cards:  T4J65 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 4, 1, 6, 5 ] card_count:  { '4': 1, '5': 1, '6': 1, T: 1 } bid:  514
serial:  285 cards:  T4665 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 4, 6, 6, 5 ] card_count:  { '4': 1, '5': 1, '6': 2, T: 1 } bid:  591
serial:  286 cards:  T48QT 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 4, 8, 12, 10 ] card_count:  { '4': 1, '8': 1, T: 2, Q: 1 } bid:  668
serial:  287 cards:  T5Q88 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 5, 12, 8, 8 ] card_count:  { '5': 1, '8': 2, Q: 1, T: 1 } bid:  593
